responseRef,prerequisites,guidanceTitle,guidanceText,contentLabel1,contentURL1,contentLabel2,contentURL2,contentLabel3,contentURL3
1,"2a+5a,2e+5a,2f+5a,3a+5a,3b+5a,4a+5a,4b+5a",Subvention salariale temporaire de 10 % pour les employeurs,"Le gouvernement fédéral a fourni une nouvelle subvention salariale temporaire (SST) aux employeurs admissibles pour la période du 18 mars 2020 au 19 juin 2020, en raison de la pandémie du COVID-19 .",Découvrez-en plus,./guidance/temporary-wage-subsidy-for-employers.html,,,,
2,"2a+5a+7a,2b+5a+7a,2c+5a+7a,2d+5a+7a,2e+5a+7a,2f+5a+7a",La subvention salariale d&rsquo;urgence du Canada (SSUC)​,"Le gouvernement fédéral a proposé un programme de soutien pour aider les employeurs à maintenir leurs travailleurs en poste et à les reprendre lorsqu’ils ont dû les mettre à pied, et éviter les licenciements, en raison de la pandémie du COVID-19.",Découvrez-en plus,./guidance/the-canada-emergency-wage-subsidy.html,,,,
3,"2a,2b,2c,2d,2e,2f,2g",L&rsquo;Agence du revenue du Canada (ARC) - Dispositions d&apos;all&egrave;gement - Dates d&rsquo;&eacute;ch&eacute;ance prolong&eacute;es pour la production des d&eacute;clarations de revenus et paiements​,"L’ARC a accordé un certain répit aux contribuables et préparateurs d’autres déclarations de renseignements en prolongeant les dates d’échéance, afin de donner plus de temps pour compléter les déclarations et effectuer les paiements, en raison de la pandémie du COVID-19.",Découvrez-en plus,./guidance/extended-due-dates-for-tax-filing-and-payments.html,,,,
4,"2a,2b,2c,2d,2e,2f,2g",L&rsquo;Agence du revenu du Canada (ARC) - Report des versements de la taxe de vente (TPS/TVH) et paiements des droits de douane.,"En raison de la pandémie du COVID-19, l’ARC accorde un certain répit aux entreprises, y compris les travailleurs autonomes à reporter leurs versements de TPS/TVH ou paiements des droits de douane sur leurs importations.",Découvrez-en plus,./guidance/deferral-of-sales-taxes-gst-hst-remittance-and-customs-duty-payments.html,,,,
5,"2a+6b,2b+6b,2c+6b,2d+6b,2e+6b",Compte d&rsquo;urgence pour les entreprises canadiennes​,Un nouveau programme fédéral qui contribute à couvrir les coûts d’exploitation des petites entreprises et organismes à but non lucrative qui font face à des réductions de revenus temporaires.,Découvrez-en plus,./guidance/canada-emergency-business-account.html,,,,
6,9a,Mesures sp&eacute;ciales temporaires du travail partag&eacute; pour soutenir les employeurs et travailleurs touch&eacute;s par le COVID-19,Des mesures spéciales pour soutenir les employeurs et travailleurs dans le programme de travail partagé.,Découvrez-en plus,./guidance/work-sharing-temporary-special-measures.html,,,,
7,8c,"Pr&ecirc;ts suppl&eacute;mentaires aux producteurs, agroentreprises et industries alimentaires​","Hausse de crédit offert aux producteurs, agroentreprises et industries alimentaires.",Découvrez-en plus,./guidance/additional-lending-to-producers-agribusiness-and-food-processors.html,,,,
8,8a,Loyers de baux fonciers en suspens pour le secteur du transport a&eacute;rien,Une mesure de soutien pour les administrations aéroportuaires en renonçant aux loyers de baux fonciers jusqu’à la fin de 2020.,Découvrez-en plus,./guidance/ground-lease-rents-suspended-for-air-transportation-sector.html,,,,
9,8b,Droits de licence de la partie I annul&eacute;s pour les radiodiffuseurs,Une mesure de soutien pour aider les radiodiffuseurs à faire face aux retombées du COVID-19.,Découvrez-en plus,./guidance/part-1-license-fees-waived-for-broadcasters.html,,,,
10,"2a,2c,2d,2e,2f",Programme de cr&eacute;dit aux entreprises (PCE),Le Gouvernement du Canada a instauré un programme afin d’offrir 40 milliards de dollars en soutien supplémentaire par l’entremise de la Banque de développement du Canada (BDC) et d’Exportation et développement Canada (EDC).,Découvrez-en plus,./guidance/business-credit-availability-program.html,,,,
11,"2a,2b,2c,2d,2e,2f,2g",Aide d&rsquo;urgence du Canada pour le loyer commercial (AUCLC),Le Gouvernement du Canada a conclu une entente avec toutes les provinces et territoires sur l&rsquo;instauration d&rsquo;une aide d&rsquo;urgence du Canada pour le loyer commercial (AUCLC) destin&eacute;e aux petites entreprises. Ce programme r&eacute;duira le loyer de 75% pour les petites entreprises qui ont subi l&rsquo;impact de la COVID-19.,Découvrez-en plus,./guidance/canada-emergency-commercial-rent-assistance-cecra.html
12,1a+2d,Alberta - Dates d&rsquo;&eacute;ch&eacute;ance prolong&eacute;es pour la production des d&eacute;clarations de revenus des soci&eacute;t&eacute;s (AT1) et le report de paiement,"Le gouvernement de l&rsquo;Alberta a accord&eacute; un certain all&egrave;gement aux soci&eacute;t&eacute;s imposables en prolongeant les dates d&rsquo;&eacute;ch&eacute;ance, afin de leur donner plus de temps pour transmettre leurs d&eacute;clarations et effectuer les paiements, en raison de la pand&eacute;mie du COVID-19.",Découvrez-en plus,./guidance/alberta-extended-due-dates-for-corporate-income-tax-return-and-payments.html
13,1a,Alberta - Gel des taux d&rsquo;imposition fonciers pour &eacute;ducation et Report pour l&rsquo;entreprise,"Le gouvernement de l&rsquo;Alberta a offert un all&egrave;gement aux entreprises qui paient des imp&ocirc;ts fonciers pour &eacute;ducation, en gelant le taux et en reportant la perception d&rsquo;imp&ocirc;t.",Découvrez-en plus,./guidance/alberta-education-property-tax-freeze-and-deferral-for-business.html
14,1a,Alberta - Report des versements de taxe pour le tourisme,"Le gouvernement de l&rsquo;Alberta a offert une all&egrave;gement fiscal pour l&rsquo;industrie du tourisme, en reportant la taxe en raison de la pand&eacute;mie du COVID-19.",Découvrez-en plus,./guidance/alberta-deferral-of-tourism-levy-remittances.html
15,1a,Alberta - All&egrave;gement des cotisations au WCB (CSST) pour les employeurs,"En raison de la pand&eacute;mie du COVID-19, le gouvernement de l&rsquo;Alberta a accord&eacute; un all&egrave;gement aux employeurs du secteur priv&eacute; en reportant les cotisations au WCB (CSST) pour 2020, et en renon&ccedil;ant &agrave; 50% des cotisations au WCB (CSST) pour les employ&eacute;s des petites et moyennes entreprises.",Découvrez-en plus,./guidance/alberta-wcb-premium-relief-for-employers.html
16,1b+5a,Colombie-Britannique - Dates d&rsquo;&eacute;ch&eacute;ance prolong&eacute;es pour la production des d&eacute;clarations et des paiements de l&rsquo;imp&ocirc;t-sant&eacute; des employeurs,La date limite de la production des d&eacute;clarations de l&rsquo;ISE et des paiements a &eacute;t&eacute; report&eacute;e dans le cadre du plan d&rsquo;action du gouvernement de la C.-B. concernant la COVID-19.,Découvrez-en plus,./guidance/BC-extended-due-dates-for-employer-health-tax-eht-filing-and-payments.html
17,1b,Colombie-Britannique - Dates d&rsquo;&eacute;ch&eacute;ance prolong&eacute;es pour la production des d&eacute;clarations et des paiements des taxes de vente de la C.-B.,"Les dates d&rsquo;&eacute;ch&eacute;ance de la production des d&eacute;clarations et paiements des taxes de vente s&eacute;lectionn&eacute;es, sont prolong&eacute;es dans le cadre du plan d&rsquo;action du gouvernement de la C.-B. concernant la COVID-19.",Découvrez-en plus,./guidance/BC-extended-due-dates-for-sales-taxes-filing-and-payments.html
18,1b,Colombie-Britannique - D&eacute;lai dans les modifications de la TVP et la taxe sur le carbone,"Le gouvernement de la C.-B. a accord&eacute; un certain all&egrave;gement aux contribuables et pr&eacute;parateurs des d&eacute;clarations de renseignements sur la TVP et la taxe sur le carbone, en reportant certaines modifications de la TVP et de la taxe sur le carbone.",Découvrez-en plus,./guidance/BC-delay-in-pst-and-carbon-tax-changes.html
19,1b,Colombie-Britannique - Les taux de taxe scolaire r&eacute;duits pour les entreprises,"Le gouvernement de la C.-B. a accord&eacute; un certain all&egrave;gement aux entreprises qui paient une taxe scolaire sur les biens &agrave; usage commercial, en r&eacute;duisant le taux en raison de la COVID-19.",Découvrez-en plus,./guidance/BC-reduced-school-tax-rates-for-businesses.html
20,1b,Colombie-Britannique - Report des d&eacute;clarations des cotisations au WorkSafeBC (CSST) et paiements,"WorkSafeBC accorde un all&egrave;gement aux employeurs en reportant les dates d&rsquo;&eacute;ch&eacute;ance de paiements pour les cotisations au WorkSafeBC (CSST), en raison du COVID-19.",Découvrez-en plus,./guidance/BC-deferral-of-worksafebc-premium-reporting-and-payments.html
